Date;Price;Open;High;Low;Change (%)
07/05/2015;237.7;230.0;240.3;228.3;3.35
08/05/2015;243.7;237.7;247.0;235.8;2.53
09/05/2015;241.4;243.7;247.9;238.5;-0.96
10/05/2015;240.0;241.4;244.8;238.2;-0.60
11/05/2015;241.8;240.0;243.9;238.9;0.77
12/05/2015;241.6;241.8;243.0;239.2;-0.10
13/05/2015;236.4;241.6;243.9;234.1;-2.15
14/05/2015;236.9;236.4;239.2;232.4;0.22
15/05/2015;237.2;236.9;238.8;235.5;0.13
16/05/2015;236.2;237.2;237.8;234.6;-0.41
17/05/2015;236.3;236.2;237.8;235.4;0.03
18/05/2015;232.6;236.3;237.1;231.5;-1.55
19/05/2015;232.0;232.6;234.5;231.3;-0.27
20/05/2015;234.0;232.0;235.2;231.5;0.84
21/05/2015;235.4;234.0;236.6;233.6;0.61
22/05/2015;240.4;235.4;242.0;234.6;2.12
23/05/2015;238.9;240.4;241.7;238.1;-0.59
24/05/2015;241.0;238.9;242.4;237.5;0.85
25/05/2015;237.4;241.0;241.8;235.8;-1.48
26/05/2015;237.8;237.4;239.0;235.6;0.18
27/05/2015;237.3;237.8;238.9;235.9;-0.23
28/05/2015;237.3;237.3;238.4;236.2;0.00
29/05/2015;237.0;237.3;237.9;235.1;-0.12
30/05/2015;233.2;237.0;237.1;231.6;-1.61
31/05/2015;229.8;233.2;234.0;229.1;-1.45
01/06/2015;223.1;229.8;231.8;221.0;-2.92
02/06/2015;225.7;223.1;227.4;222.3;1.17
03/06/2015;225.6;225.7;227.9;223.7;-0.07
04/06/2015;224.2;225.6;226.7;223.5;-0.61
05/06/2015;225.3;224.2;226.4;222.1;0.48
06/06/2015;224.7;225.3;225.8;223.5;-0.24
07/06/2015;223.5;224.7;226.4;222.2;-0.57
08/06/2015;228.6;223.5;229.9;223.0;2.28
09/06/2015;229.6;228.6;231.4;227.5;0.43
10/06/2015;228.8;229.6;230.4;227.8;-0.34
11/06/2015;229.9;228.8;230.6;228.5;0.48
12/06/2015;230.5;229.9;231.6;229.3;0.25
13/06/2015;232.5;230.5;233.1;229.0;0.88
14/06/2015;233.8;232.5;235.5;232.1;0.55
15/06/2015;237.0;233.8;238.6;233.3;1.39
16/06/2015;249.8;237.0;254.1;235.7;5.41
17/06/2015;247.4;249.8;258.5;245.1;-0.98
18/06/2015;248.4;247.4;251.9;242.5;0.43
19/06/2015;244.1;248.4;250.8;243.6;-1.73
20/06/2015;245.0;244.1;246.6;238.7;0.35
21/06/2015;244.1;245.0;246.0;240.9;-0.36
22/06/2015;247.5;244.1;248.6;243.2;1.38
